HIT_Id,annotator,method_i,method_j,topic,criterion,i greater j?
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A10443E11ZWEHJ,H3,Submodular,1023,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A2TBXASXZIRNNW,H3,Submodular,1023,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AGIJZ2UP8YNZV,H3,Submodular,1023,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A3T61LJ1WNOL6Z,H3,Submodular,1023,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AMZV70TID53WY,H3,Submodular,1023,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1VIUV55F27XVM,H3,Submodular,1023,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1HNR6OIRFCEHS,H3,Submodular,1023,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A10443E11ZWEHJ,H2,Submodular,1017,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A2TBXASXZIRNNW,H2,Submodular,1017,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AGIJZ2UP8YNZV,H2,Submodular,1017,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A3T61LJ1WNOL6Z,H2,Submodular,1017,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,AMZV70TID53WY,H2,Submodular,1017,Referential Clarity,1
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1VIUV55F27XVM,H2,Submodular,1017,Referential Clarity,0
39WSF6KUV1K0INH5LVBZFNIH6OXOER,A1HNR6OIRFCEHS,H2,Submodular,1017,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A10443E11ZWEHJ,H4,MMR*,1001,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A2TBXASXZIRNNW,H4,MMR*,1001,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1VIUV55F27XVM,H4,MMR*,1001,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,A3T61LJ1WNOL6Z,H4,MMR*,1001,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,AGIJZ2UP8YNZV,H4,MMR*,1001,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,AMZV70TID53WY,H4,MMR*,1001,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1HNR6OIRFCEHS,H4,MMR*,1001,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A10443E11ZWEHJ,H2,PG-MMR,1010,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A2TBXASXZIRNNW,H2,PG-MMR,1010,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1VIUV55F27XVM,H2,PG-MMR,1010,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,A3T61LJ1WNOL6Z,H2,PG-MMR,1010,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,AGIJZ2UP8YNZV,H2,PG-MMR,1010,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,AMZV70TID53WY,H2,PG-MMR,1010,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1HNR6OIRFCEHS,H2,PG-MMR,1010,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A10443E11ZWEHJ,H1,PG-MMR,1008,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A2TBXASXZIRNNW,H1,PG-MMR,1008,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1VIUV55F27XVM,H1,PG-MMR,1008,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A3T61LJ1WNOL6Z,H1,PG-MMR,1008,Referential Clarity,0
38LRF35D5KVSLUL5SX6CV269XLW3UT,AGIJZ2UP8YNZV,H1,PG-MMR,1008,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,AMZV70TID53WY,H1,PG-MMR,1008,Referential Clarity,1
38LRF35D5KVSLUL5SX6CV269XLW3UT,A1HNR6OIRFCEHS,H1,PG-MMR,1008,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1VIUV55F27XVM,H3,H1,1020,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AGIJZ2UP8YNZV,H3,H1,1020,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A3T61LJ1WNOL6Z,H3,H1,1020,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AMZV70TID53WY,H3,H1,1020,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1HNR6OIRFCEHS,H3,H1,1020,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A9EQ4FWCUQVBL,H3,H1,1020,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A31CNXHGR49DJR,H3,H1,1020,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1VIUV55F27XVM,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AGIJZ2UP8YNZV,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A3T61LJ1WNOL6Z,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AMZV70TID53WY,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1HNR6OIRFCEHS,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A9EQ4FWCUQVBL,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A31CNXHGR49DJR,H3,H2,1003,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1VIUV55F27XVM,Submodular,PG-MMR,1018,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AGIJZ2UP8YNZV,Submodular,PG-MMR,1018,Referential Clarity,0
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A3T61LJ1WNOL6Z,Submodular,PG-MMR,1018,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,AMZV70TID53WY,Submodular,PG-MMR,1018,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A1HNR6OIRFCEHS,Submodular,PG-MMR,1018,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A9EQ4FWCUQVBL,Submodular,PG-MMR,1018,Referential Clarity,1
3AQN9REUTEF7KV77VN9DBWYYKMVYDJ,A31CNXHGR49DJR,Submodular,PG-MMR,1018,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1HNR6OIRFCEHS,H4,H2,1050,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AMZV70TID53WY,H4,H2,1050,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1VIUV55F27XVM,H4,H2,1050,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A3T61LJ1WNOL6Z,H4,H2,1050,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AGIJZ2UP8YNZV,H4,H2,1050,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A9EQ4FWCUQVBL,H4,H2,1050,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1V6CP5I0TOSAR,H4,H2,1050,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1HNR6OIRFCEHS,H1,H3,1016,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AMZV70TID53WY,H1,H3,1016,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1VIUV55F27XVM,H1,H3,1016,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A3T61LJ1WNOL6Z,H1,H3,1016,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AGIJZ2UP8YNZV,H1,H3,1016,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A9EQ4FWCUQVBL,H1,H3,1016,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1V6CP5I0TOSAR,H1,H3,1016,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1HNR6OIRFCEHS,H1,H2,1008,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AMZV70TID53WY,H1,H2,1008,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1VIUV55F27XVM,H1,H2,1008,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A3T61LJ1WNOL6Z,H1,H2,1008,Referential Clarity,0
3WA2XVDZELGATHB1LZP5YNWQLO46EL,AGIJZ2UP8YNZV,H1,H2,1008,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A9EQ4FWCUQVBL,H1,H2,1008,Referential Clarity,1
3WA2XVDZELGATHB1LZP5YNWQLO46EL,A1V6CP5I0TOSAR,H1,H2,1008,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A10443E11ZWEHJ,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1ET2J1PIP0RGO,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A3T61LJ1WNOL6Z,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AMZV70TID53WY,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AGIJZ2UP8YNZV,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1VIUV55F27XVM,MMR*,H1,1016,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1HNR6OIRFCEHS,MMR*,H1,1016,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A10443E11ZWEHJ,H4,H3,1023,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1ET2J1PIP0RGO,H4,H3,1023,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A3T61LJ1WNOL6Z,H4,H3,1023,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AMZV70TID53WY,H4,H3,1023,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AGIJZ2UP8YNZV,H4,H3,1023,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1VIUV55F27XVM,H4,H3,1023,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1HNR6OIRFCEHS,H4,H3,1023,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A10443E11ZWEHJ,H2,Submodular,1021,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1ET2J1PIP0RGO,H2,Submodular,1021,Referential Clarity,0
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A3T61LJ1WNOL6Z,H2,Submodular,1021,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AMZV70TID53WY,H2,Submodular,1021,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,AGIJZ2UP8YNZV,H2,Submodular,1021,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1VIUV55F27XVM,H2,Submodular,1021,Referential Clarity,1
3D7VY91L64WEBHK9YOUWMBNR8R5MBA,A1HNR6OIRFCEHS,H2,Submodular,1021,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1HNR6OIRFCEHS,MMR*,H2,1047,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AMZV70TID53WY,MMR*,H2,1047,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AGIJZ2UP8YNZV,MMR*,H2,1047,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A3T61LJ1WNOL6Z,MMR*,H2,1047,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1VIUV55F27XVM,MMR*,H2,1047,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A9EQ4FWCUQVBL,MMR*,H2,1047,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A31CNXHGR49DJR,MMR*,H2,1047,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1HNR6OIRFCEHS,H2,H4,1025,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AMZV70TID53WY,H2,H4,1025,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AGIJZ2UP8YNZV,H2,H4,1025,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A3T61LJ1WNOL6Z,H2,H4,1025,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1VIUV55F27XVM,H2,H4,1025,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A9EQ4FWCUQVBL,H2,H4,1025,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A31CNXHGR49DJR,H2,H4,1025,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1HNR6OIRFCEHS,H3,Submodular,1036,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AMZV70TID53WY,H3,Submodular,1036,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,AGIJZ2UP8YNZV,H3,Submodular,1036,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A3T61LJ1WNOL6Z,H3,Submodular,1036,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A1VIUV55F27XVM,H3,Submodular,1036,Referential Clarity,0
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A9EQ4FWCUQVBL,H3,Submodular,1036,Referential Clarity,1
3E6L1VR4XVL2ZVBXGA9BG5HQXPJ6F3,A31CNXHGR49DJR,H3,Submodular,1036,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A2TBXASXZIRNNW,PG-MMR,H1,1048,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AGIJZ2UP8YNZV,PG-MMR,H1,1048,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3T61LJ1WNOL6Z,PG-MMR,H1,1048,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AMZV70TID53WY,PG-MMR,H1,1048,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1VIUV55F27XVM,PG-MMR,H1,1048,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1HNR6OIRFCEHS,PG-MMR,H1,1048,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3CFNUD7VR2E1E,PG-MMR,H1,1048,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A2TBXASXZIRNNW,H3,H1,1042,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AGIJZ2UP8YNZV,H3,H1,1042,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3T61LJ1WNOL6Z,H3,H1,1042,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AMZV70TID53WY,H3,H1,1042,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1VIUV55F27XVM,H3,H1,1042,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1HNR6OIRFCEHS,H3,H1,1042,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3CFNUD7VR2E1E,H3,H1,1042,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A2TBXASXZIRNNW,H3,H1,1045,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AGIJZ2UP8YNZV,H3,H1,1045,Referential Clarity,0
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3T61LJ1WNOL6Z,H3,H1,1045,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,AMZV70TID53WY,H3,H1,1045,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1VIUV55F27XVM,H3,H1,1045,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A1HNR6OIRFCEHS,H3,H1,1045,Referential Clarity,1
3X2YVV51PT393VWV0T7UPXC9KHSW1S,A3CFNUD7VR2E1E,H3,H1,1045,Referential Clarity,0
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,A1VIUV55F27XVM,PG-MMR,H4,1033,Referential Clarity,1
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,A3T61LJ1WNOL6Z,PG-MMR,H4,1033,Referential Clarity,1
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,AMZV70TID53WY,PG-MMR,H4,1033,Referential Clarity,0
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,AGIJZ2UP8YNZV,PG-MMR,H4,1033,Referential Clarity,1
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,A1HNR6OIRFCEHS,PG-MMR,H4,1033,Referential Clarity,0
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,A9EQ4FWCUQVBL,PG-MMR,H4,1033,Referential Clarity,1
3UUIU9GZC44GZWTK6B4V53IRS3FT5H,A1ET2J1PIP0RGO,PG-MMR,H4,1033,Referential Clarity,0
